90	AMBG	Ivashko's parents	['Mention 4637 - Ivashko, Hero;MA - IVANSHKO;; ()', "Mention 4638 - Ivashko's parents, Tester,Tester;MA,FE - FATHER,OLDWOMAN;; ()"]	Mention 4637 - Ivashko, Hero;MA - IVANSHKO;; ()
102	MISS	hold	Mention 102 - hold,  - ;; (I)
1461	MISS	Now	Mention 1461 - Now,  - ;; (I)
130	AMBG	Ivashko's mother	['Mention 4694 - Ivashko, Hero;MA - IVANSHKO;; ()', "Mention 4695 - Ivashko's mother, Tester;FE - OLDWOMAN;; ()"]	Mention 4693 - a little voice just like Ivashko's mother's, ;PA - OLDWOMAN;; ()
132	MISS	's	Mention 132 - 's,  - ;; (I)
159	MISS	her	Mention 159 - her,  - ;; (I)
167	MISS	front	Mention 167 - front,  - ;; (I)
159	MISS	her	Mention 159 - her,  - ;; (I)
223	AMBG	Alenka's baked body	['Mention 4776 - Alenka, Villain;FE - ALENKA;; ()', "Mention 4777 - Alenka's baked body, ;PA - ALENKA;; ()"]	Mention 4775 - the oven, ;OB - ;; ()
269	MISS	last	Mention 269 - last,  - ;; (I)
277	AMBG	her two iron teeth	['Mention 4838 - her, Villain;FE - WITCH;; ()', 'Mention 4839 - two iron teeth, ;PA - ;; ()']	Mention 4838 - her, Villain;FE - WITCH;; ()
277	AMBG	her two iron teeth	['Mention 4838 - her, Villain;FE - WITCH;; ()', 'Mention 4839 - two iron teeth, ;PA - ;; ()']	Mention 4839 - two iron teeth, ;PA - ;; ()
282	MISS	gnawing	Mention 282 - gnawing,  - ;; (I)
338	MISS	spite	Mention 338 - spite,  - ;; (I)
350	MISS	the	Mention 350 - the,  - ;; (I)
382	MISS	hold	Mention 382 - hold,  - ;; (I)
396	AMBG	Early the next morning his mother	['Mention 4971 - his mother, Tester;FE - OLDWOMAN;; ()', 'Mention 4969 - Early the next morning, ;ST - ;; ()']	Mention 4968 - the upper room, ;SS - ;; ()
406	MISS	baked	Mention 406 - baked,  - ;; (I)
410	MISS	all	Mention 410 - all,  - ;; (I)
439	MISS	that	Mention 439 - that,  - ;; (I)
439	MISS	that	Mention 439 - that,  - ;; (I)
