1	0	A dragon	MB	ACTOR	Villain	Villain
1	2	Kiev	SS	NONACTOR	?	?
1	4	he	MB	ACTOR	Villain	Villain
1	5	heavy tribute	?	NONACTOR	?	?
1	7	the people	GR	ACTOR	Other	Other
1	10	a lovely maiden	FE	ACTOR	Other	Other
1	13	every house	SS	NONACTOR	?	?
1	15	he	MB	ACTOR	Villain	Villain
1	16	it	?	NONACTOR	?	?
1	18	the fate	?	NONACTOR	?	?
1	21	the tsar 's	MA	ACTOR	Other	Dispatcher,FamilyPrize
1	23	daughter	FE	ACTOR	Prize	Prize
1	24	the dragon	MB	ACTOR	Villain	Villain
1	26	He	MB	ACTOR	Villain	Villain
1	27	her	FE	ACTOR	Prize	Prize
1	28	her	FE	ACTOR	Prize	Prize
1	29	his lair	SS	NONACTOR	?	?
1	31	her	FE	ACTOR	Prize	Prize
1	32	she	FE	ACTOR	Prize	Prize
1	33	a beauty	FE	ACTOR	Prize	Prize
1	35	he	MB	ACTOR	Villain	Villain
1	36	her	FE	ACTOR	Prize	Prize
1	37	wife	FE	ACTOR	Prize	Prize
1	39	Whenever	?	NONACTOR	?	?
1	41	he	MB	ACTOR	Villain	Villain
1	42	he	MB	ACTOR	Villain	Villain
1	44	house	SS	NONACTOR	?	?
1	45	the princess	FE	ACTOR	Prize	Prize
1	47	The princess	FE	ACTOR	Prize	Prize
1	50	a little dog	AA	ACTOR	?	?
1	52	her	FE	ACTOR	Prize	Prize
1	53	the dragon 's lair	SS	NONACTOR	?	?
1	57	The princess	FE	ACTOR	Prize	Prize
1	60	father	MA	ACTOR	Other	Dispatcher,FamilyPrize
1	61	mother	FE	ACTOR	Other	FamilyPrize
1	62	She	FE	ACTOR	Prize	Prize
1	63	her letter	OB	NONACTOR	?	?
1	65	the dog 's neck	PA	NONACTOR	?	?
1	69	the dog	AA	ACTOR	?	?
1	71	it	OB	NONACTOR	?	?
1	72	them	MA,FE	NONACTOR	?	?
1	73	the answer	OB	NONACTOR	?	?
1	75	day	ST	NONACTOR	?	?
1	77	tsar	MA	ACTOR	Other	Dispatcher,FamilyPrize
1	78	tsarina	FE	ACTOR	Other	FamilyPrize
1	79	their daughter	FE	ACTOR	Prize	Prize
1	81	her	FE	ACTOR	Prize	Prize
1	82	this world	SC	NONACTOR	?	?
1	84	the dragon	MB	ACTOR	Villain	Villain
1	86	The princess	FE	ACTOR	Prize	Prize
1	88	kindlier	?	NONACTOR	?	?
1	89	the dragon	MB	ACTOR	Villain	Villain
1	91	him	MB	ACTOR	Villain	Villain
1	92	a long time	ST	NONACTOR	?	?
1	94	he	MB	ACTOR	Villain	Villain
1	95	day	ST	NONACTOR	?	?
1	96	he	MB	ACTOR	Villain	Villain
1	98	a tanner	MA	ACTOR	Hero	Hero
