1	1084	A dragon	Mention 864 - A dragon, Villain;MB - Dragon;; (I);Mention 866 - he, Villain;MB - Dragon;; (I);Mention 876 - the dragon, Villain;MB - Dragon;; (I);Mention 877 - He, Villain;MB - Dragon;; (I);Mention 880 - his, Villain;MB - Dragon;; (I);Mention 885 - he, Villain;MB - Dragon;; (I);Mention 887 - he, Villain;MB - Dragon;; (I);Mention 888 - he, Villain;MB - Dragon;; (I);Mention 895 - dragon, Villain;MB - Dragon;; (I);Mention 919 - the dragon, Villain;MB - Dragon;; (I);Mention 921 - the dragon, Villain;MB - Dragon;; (I);Mention 922 - him, Villain;MB - Dragon;; (I);Mention 924 - he, Villain;MB - Dragon;; (I);Mention 926 - he, Villain;MB - Dragon;; (I);Mention 930 - he, Villain;MB - Dragon;; (I);Mention 946 - the wicked dragon, Villain;MB - Dragon;; (I);Mention 969 - the dragon, Villain;MB - Dragon;; (I);Mention 981 - the dragon, Villain;MB - Dragon;; (I);Mention 992 - the dragon, Villain;MB - Dragon;; (I);Mention 994 - him, Villain;MB - Dragon;; (I);Mention 998 - dragon, Villain;MB - Dragon;; (I);Mention 999 - the dragon, Villain;MB - Dragon;; (I);Mention 1000 - himself, Villain;MB - Dragon;; (I);Mention 1004 - your, Villain;MB - Dragon;; (I);Mention 1007 - you, Villain;MB - Dragon;; (I);Mention 1010 - The dragon, Villain;MB - Dragon;; (I);Mention 1011 - he, Villain;MB - Dragon;; (I);Mention 1015 - him, Villain;MB - Dragon;; (I);Mention 1018 - him, Villain;MB - Dragon;; (I);Mention 1019 - the dragon, Villain;MB - Dragon;; (I);Mention 1021 - me, Villain;MB - Dragon;; (I);Mention 1027 - I, Villain;MB - Dragon;; (I);Mention 1033 - I, Villain;MB - Dragon;; (I);Mention 1041 - the dragon, Villain;MB - Dragon;; (I);Mention 1043 - the dragon, Villain;MB - Dragon;; (I);Mention 1046 - he, Villain;MB - Dragon;; (I);Mention 1050 - the dragon, Villain;MB - Dragon;; (I);Mention 1058 - you, Villain;MB - Dragon;; (I);Mention 1061 - The dragon, Villain;MB - Dragon;; (I);Mention 1065 - him, Villain;MB - Dragon;; (I);Mention 1066 - him, Villain;MB - Dragon;; (I)					
1	1085	Kiev	Mention 865 - Kiev, ;SC - ;; (I);Mention 937 - Kiev, ;SC - ;; (I);Mention 945 - his land, ;SC - ;; (I);Mention 1045 - Kiev, ;SC - ;; (I);Mention 1048 - Kiev, ;SC - ;; (I)					
1	1087	the people	Mention 868 - the people, Other;GR - The people;; (I)					
1	1091	the tsar's daughter	Mention 874 - the tsar's daughter, Prize;FE - Princess;; (I);Mention 878 - her, Prize;FE - Princess;; (I);Mention 879 - her, Prize;FE - Princess;; (I);Mention 882 - her, Prize;FE - Princess;; (I);Mention 883 - she, Prize;FE - Princess;; (I);Mention 884 - a beauty, Prize;FE - Princess;; (I);Mention 886 - her, Prize;FE - Princess;; (I);Mention 890 - the princess, Prize;FE - Princess;; (I);Mention 891 - The princess, Prize;FE - Princess;; (I);Mention 893 - her, Prize;FE - Princess;; (I);Mention 896 - The princess, Prize;FE - Princess;; (I);Mention 901 - She, Prize;FE - Princess;; (I);Mention 916 - her, Prize;FE - Princess;; (I);Mention 920 - The princess, Prize;FE - Princess;; (I);Mention 931 - the princess, Prize;FE - Princess;; (I);Mention 933 - she, Prize;FE - Princess;; (I);Mention 939 - her, Prize;FE - Princess;; (I);Mention 947 - the princess, Prize;FE - Princess;; (I)					
1	1092	the tsar	Mention 875 - tsar, Other;MA - Father;; (I);Mention 912 - tsar, Other;MA - Father;; (I);Mention 944 - his, Other;MA - Father;; (I);Mention 965 - tsar, Other;MA - Father;; (I)					
1	1094	princess' dog	Mention 892 - a little dog that had followed her to the dragon's lair, ;AN - Dog;; (I);Mention 905 - dog, ;AN - Dog;; (I);Mention 906 - the dog, ;AN - Dog;; (I)					
1	1095	princess' father and mother	Mention 908 - them, Other,Other;MA,FE - Father,Mother;; (I);Mention 911 - the tsar and tsarina, Other,Other;MA,FE - Father,Mother;; (I);Mention 964 - the tsar and tsarina, Other,Other;MA,FE - Father,Mother;; (I);Mention 970 - they, Other,Other;MA,FE - Father,Mother;; (I)					
1	1096	tsar's wife	Mention 900 - mother, Other;FE - Mother;; (I);Mention 913 - tsarina, Other;FE - Mother;; (I);Mention 966 - tsarina, Other;FE - Mother;; (I)					
1	1106	Nikita	Mention 936 - Nikita the Tanner, Hero;MA - Nikita;; (I);Mention 938 - him, Hero;MA - Nikita;; (I);Mention 943 - Nikita the Tanner, Hero;MA - Nikita;; (I);Mention 949 - Nikita, Hero;MA - Nikita;; (I);Mention 954 - he, Hero;MA - Nikita;; (I);Mention 957 - him, Hero;MA - Nikita;; (I);Mention 958 - he, Hero;MA - Nikita;; (I);Mention 962 - he, Hero;MA - Nikita;; (I);Mention 967 - him, Hero;MA - Nikita;; (I);Mention 968 - he, Hero;MA - Nikita;; (I);Mention 973 - him, Hero;MA - Nikita;; (I);Mention 976 - him, Hero;MA - Nikita;; (I);Mention 978 - Nikita, Hero;MA - Nikita;; (I);Mention 979 - him, Hero;MA - Nikita;; (I);Mention 982 - Nikita himself, Hero;MA - Nikita;; (I);Mention 984 - he, Hero;MA - Nikita;; (I);Mention 986 - He, Hero;MA - Nikita;; (I);Mention 991 - himself, Hero;MA - Nikita;; (I);Mention 993 - him, Hero;MA - Nikita;; (I);Mention 996 - Nikita, Hero;MA - Nikita;; (I);Mention 1002 - Nikita, Hero;MA - Nikita;; (I);Mention 1003 - I, Hero;MA - Nikita;; (I);Mention 1008 - he, Hero;MA - Nikita;; (I);Mention 1014 - Nikita, Hero;MA - Nikita;; (I);Mention 1017 - he, Hero;MA - Nikita;; (I);Mention 1020 - Nikita, Hero;MA - Nikita;; (I);Mention 1022 - Nikita the Tanner, Hero;MA - Nikita;; (I);Mention 1031 - you, Hero;MA - Nikita;; (I);Mention 1035 - Nikita, Hero;MA - Nikita;; (I);Mention 1038 - He, Hero;MA - Nikita;; (I);Mention 1055 - Nikita, Hero;MA - Nikita;; (I);Mention 1064 - Nikita, Hero;MA - Nikita;; (I);Mention 1079 - Nikita, Hero;MA - Nikita;; (I)					
1	1113	five thousand little children	Mention 971 - five thousand little children, Other;GR - Children;; (I);Mention 972 - them, Other;GR - Children;; (I);Mention 977 - The little children, Other;GR - Children;; (I)					
